Country/Territory of Seizure,Year,Quantity Seized,,,,,
Kenya,2019,2.9794,,,,,
Kenya,2020,0.3819,,,,,
Kenya,2021,0.14,,,,,
Kenya,2022,0.017,,,,,
Kenya,2023,3.96346,,,,,
Kenya,2024,7.57064,,,,,
"Korea, Republic of",2011,2.1,,,,,
"Korea, Republic of",2013,1.18,,,,,
Latvia,2011,0.145,,,,,
Latvia,2012,0.81,,,,,
Latvia,2013,0.5131044,,,,,
Latvia,2015,0.0041862,,,,,
Latvia,2017,0.6972449000000001,,,,,
Latvia,2020,5.0146839,,,,,
Lebanon,2019,10.45,,,,,
Lebanon,2020,28.230999999999998,,,,,
Lebanon,2021,6.937,,,,,
Lebanon,2023,3.335,,,,,
Libya,2016,0.000385,,,,,
Libya,2019,2.127,,,,,
Libya,2021,3.6,,,,,
Libya,2022,0.432,,,,,
Libya,2023,981.15,,,,,
Libya,2024,134.49,,,,,
Libyan Arab Jamahiriya,2016,0.000385,,,,,
Lithuania,2013,7.428,,,,,
Lithuania,2016,1.3587280000000002,,,,,
Lithuania,2017,1.156433,,,,,
Lithuania,2018,5.686299999999999,,,,,
Lithuania,2021,1.825065,,,,,
Lithuania,2022,0.47746800000000006,,,,,
Lithuania,2023,153.81151799999998,,,,,
Lithuania,2024,469.887111,,,,,
Luxembourg,2012,0.6745999999999999,,,,,
Luxembourg,2015,0.128,,,,,
Luxembourg,2018,0.20592,,,,,
Luxembourg,2019,0.358,,,,,
Luxembourg,2020,1.5039,,,,,
Luxembourg,2021,1.7049000000000003,,,,,
Luxembourg,2022,0.2326,,,,,
Luxembourg,2023,1.10891,,,,,
Luxembourg,2024,0.0012,,,,,
"Macao S.A.R., China",2017,0.00035,,,,,
"Macedonia, the former Yugoslav Republic of",2013,150.00501,,,,,
"Macedonia, the former Yugoslav Republic of",2018,0.0116,,,,,
"Macedonia, the former Yugoslav Republic of",2019,0.27292,,,,,
"Macedonia, the former Yugoslav Republic of",2021,0.35597999999999996,,,,,
Malaysia,2017,12.785,,,,,
Malaysia,2023,52.9843,,,,,
Malaysia,2024,8.4338,,,,,
Maldives,2018,0.563,,,,,
Maldives,2019,8.7052,,,,,
Maldives,2020,2.7140000000000004,,,,,
Maldives,2022,4.2,,,,,
Maldives,2023,3.6607108,,,,,
Maldives,2024,13.18542,,,,,
Mali,2023,10,,,,,
Malta,2011,0.66,,,,,
Malta,2012,2.379,,,,,
Malta,2013,0.712,,,,,
Malta,2014,0.5555,,,,,
Malta,2015,88.81,,,,,
Malta,2016,3.83,,,,,
Malta,2017,1,,,,,
Malta,2018,1302.5,,,,,
Malta,2019,176.4,,,,,
Malta,2020,514.04736,,,,,
Malta,2021,748.951,,,,,
Malta,2022,2307.73,,,,,
Malta,2023,2.8183999999999996,,,,,
Malta,2024,305.47499999999997,,,,,
Martinique,2012,2.91,,,,,
Mauritius,2022,0.01192,,,,,
Mauritius,2023,0.01617,,,,,
Mexico,2011,627.76,,,,,
Mexico,2012,169.084,,,,,
Mexico,2013,1576.1086,,,,,
Mexico,2014,499.0115,,,,,
Mexico,2017,2379.307009,,,,,
Mexico,2019,1672.141,,,,,
Mexico,2020,3570.7160000000003,,,,,
Monaco,2012,5.88086,,,,,
Montenegro,2014,455.18,,,,,
Montenegro,2018,1.1273,,,,,
Montenegro,2021,0.112,,,,,
Montenegro,2022,500,,,,,
Montenegro,2023,0.27869,,,,,
Montenegro,2024,0.654,,,,,
Morocco,2012,8.112,,,,,
Morocco,2016,642.20669,,,,,
Morocco,2019,6.816000000000001,,,,,
Morocco,2020,55.89,,,,,
Morocco,2021,12.2634,,,,,
Morocco,2022,74.06415,,,,,
Morocco,2023,240.78774,,,,,
Morocco,2024,1867.50779,,,,,
Mozambique,2020,0.5728,,,,,
Mozambique,2024,573,,,,,
Namibia,2020,0.204,,,,,
Namibia,2023,21.604,,,,,
Namibia,2024,1.096,,,,,
Netherlands,2019,44342,,,,,
Netherlands,2020,48891,,,,,
Netherlands,2021,72808,,,,,
Netherlands,2022,51447,,,,,
Netherlands,2023,59116,,,,,
New Zealand,2011,0.58545,,,,,
