DEPARTURE_COUNTRY,DESTINATION_COUNTRY,seizure_count,total_quantity_kg,avg_quantity_kg,primary_drug,first_year,last_year
Ecuador,Pakistan,1,0.32,0.32,Non-specified cocaine-type,2014.0,2014.0
Ecuador,Portugal,5,362.345,72.469,Non-specified cocaine-type,2012.0,2015.0
Ecuador,Romania,1,2.0,2.0,Non-specified cocaine-type,2015.0,2015.0
Ecuador,Russian Federation,3,27.285,9.095,Non-specified cocaine-type,2013.0,2014.0
Ecuador,Saudi Arabia,3,1264.3,421.433,Non-specified cocaine-type,2013.0,2014.0
Ecuador,Slovenia,1,0.275,0.275,Non-specified cocaine-type,2012.0,2012.0
Ecuador,Spain,214,8100.34,37.852,Non-specified cocaine-type,2011.0,2016.0
Ecuador,Switzerland,2,2.0,1.0,Non-specified cocaine-type,2016.0,2016.0
Ecuador,Turkey,5,1335.97,267.194,Non-specified cocaine-type,2014.0,2016.0
Ecuador,Ukraine,2,35.53,17.765,Non-specified cocaine-type,2012.0,2012.0
Ecuador,United Arab Emirates,1,110.0,110.0,Non-specified cocaine-type,2015.0,2015.0
Ecuador,United Kingdom,1,0.047,0.047,Non-specified cocaine-type,2014.0,2014.0
Ecuador,United States,2,1.184,0.592,Non-specified cocaine-type,2014.0,2015.0
El Salvador,El Salvador,16,15.956,0.997,Non-specified cocaine-type,2012.0,2013.0
El Salvador,Germany,1,1.0,1.0,Non-specified cocaine-type,2014.0,2014.0
El Salvador,Italy,1,3.25,3.25,Non-specified cocaine-type,2013.0,2013.0
El Salvador,Other,2,1.9,0.95,Non-specified cocaine-type,2014.0,2014.0
El Salvador,Spain,5,340.07,68.014,Non-specified cocaine-type,2011.0,2016.0
El Salvador,United States,2,136.504,68.252,Non-specified cocaine-type,2012.0,2013.0
Ethiopia,Spain,2,8.92,4.46,Non-specified cocaine-type,2015.0,2015.0
France,Finland,2,0.261,0.13,Non-specified cocaine-type,2016.0,2016.0
France,France,4,0.921,0.23,Non-specified cocaine-type,2012.0,2016.0
France,Italy,5,13.913,2.783,Non-specified cocaine-type,2012.0,2013.0
