country,year,value
Barbados,2017,234.142719981726
Barbados,2018,107.94038698231807
Barbados,2019,90.3247601859837
Barbados,2020,79.8727715496738
Barbados,2021,61.315664025603745
Barbados,2022,43.213681026360334
Barbados,2023,36.48135554799952
Belarus,2013,24.2380621468562
Belarus,2014,25.5365216333345
Belize,2012,142.3385384583181
Belize,2013,142.845852347736
Belize,2014,183.42182003166891
Belize,2016,160.1294196679508
Belize,2018,27.08911661864708
Belize,2019,28.250893855689718
Belize,2020,18.167326191783012
Belize,2021,13.911846949448181
Belize,2022,13.16008372792892
Bermuda,2013,138.4224558975045
Bermuda,2014,136.94533205307812
Bermuda,2017,64.48720872622036
Bermuda,2018,45.43247011640111
Bermuda,2019,90.47373921724616
Bolivia (Plurinational State of),2012,105.5363606426022
Bolivia (Plurinational State of),2018,17.36996939965772
Bolivia (Plurinational State of),2019,14.608377043154
Bolivia (Plurinational State of),2020,15.131640832225
Bolivia (Plurinational State of),2021,14.257759431639808
Bolivia (Plurinational State of),2022,26.05746353818125
Bolivia (Plurinational State of),2023,34.0815553734007
Bosnia and Herzegovina,2015,12.4767641583208
Bosnia and Herzegovina,2016,8.89719934016757
Bosnia and Herzegovina,2017,19.83269083678644
Bosnia and Herzegovina,2018,11.21936817242397
Bosnia and Herzegovina,2019,13.89913057201947
Bosnia and Herzegovina,2020,11.85082089666463
Bosnia and Herzegovina,2021,12.32700778065322
Bosnia and Herzegovina,2022,13.54217826873548
Bosnia and Herzegovina,2023,16.200570599166802
Botswana,2014,63.0281891158742
Brazil,2012,134.1462902674202
Brazil,2013,146.914801635531
Brazil,2014,64.1317033024648
Brazil,2022,73.1575403279009
Brazil,2023,79.5374728482632
Bulgaria,2010,8.91416765774598
Bulgaria,2011,8.17070402878039
Bulgaria,2012,7.20239206884065
Bulgaria,2013,6.93775341641339
Bulgaria,2014,6.09127259766958
Bulgaria,2015,6.75721144234141
Bulgaria,2016,7.71666212552793
Bulgaria,2017,8.64939976062928
Bulgaria,2018,17.65188503982102
Bulgaria,2019,19.09549021004896
Bulgaria,2020,21.1721038206128
Bulgaria,2021,19.86266118509564
Bulgaria,2022,19.66051477146336
Bulgaria,2023,21.2778386895559
Burundi,2012,0.426967357600801
Burundi,2013,0.182003834437626
Burundi,2014,0.342599396997283
Cameroon,2013,1.30359358232002
Chile,2012,48.7182032384163
Chile,2013,43.7892076310369
Chile,2014,43.601181021591
Chile,2015,42.3102751107064
Chile,2017,51.166915222601766
Chile,2018,48.13903590981529
Chile,2019,48.82344508813115
Chile,2020,89.74930286190059
Chile,2021,103.5755245566817
Chile,2022,116.70821562676467
Chile,2023,144.1641887731393
China,2014,18.0923407341072
China,2015,36.88828837338099
China,2016,0.025711286868625
"China, Hong Kong Special Administrative Region",2010,79.8128088293131
"China, Hong Kong Special Administrative Region",2011,79.6867465274772
"China, Hong Kong Special Administrative Region",2012,79.432739147745
"China, Hong Kong Special Administrative Region",2018,50.82186668033693
"China, Hong Kong Special Administrative Region",2019,43.72270587042447
"China, Hong Kong Special Administrative Region",2020,41.64088031678044
"China, Hong Kong Special Administrative Region",2021,42.38034583404338
"China, Hong Kong Special Administrative Region",2022,42.32568948347258
"China, Hong Kong Special Administrative Region",2023,43.96233669224667
"China, Macao Special Administrative Region",2012,116.77679035757356
"China, Macao Special Administrative Region",2013,110.89900007181714
"China, Macao Special Administrative Region",2014,110.10906040268458
"China, Macao Special Administrative Region",2015,110.2576589695248
"China, Macao Special Administrative Region",2016,113.35124777022014
"China, Macao Special Administrative Region",2017,111.66885390172062
"China, Macao Special Administrative Region",2018,147.24365941479
"China, Macao Special Administrative Region",2019,154.99855434040657
